artsid;artsnavn;DanskNavn;LatinskNavn
5880;Audouinsmåge;Audouinsmåge;(Ichthyaetus audouinii)
5890;Ringnæbbet Måge;Ringnæbbet Måge;Larus delawarensis
5890;Ringnæbbet Måge;Ringnæbbet Måge;(Larus delawarensis)
5919;Armensk Måge;Armensk Måge;Larus armenicus
5919;Armensk Måge;Armensk Måge;(Larus armenicus)
5922;Sildemåge, Sibirisk Måge (ssp. heuglini);Sildemåge, Sibirisk Måge (ssp. heuglini);Larus fuscus heuglini
5922;Sildemåge, Sibirisk Måge (ssp. heuglini);Sildemåge, Sibirisk Måge (ssp. heuglini);(Larus fuscus heuglini)
5960;Gråvinget Måge;Gråvinget Måge;Larus glaucescens
5960;Gråvinget Måge;Gråvinget Måge;(Larus glaucescens)
5982;Hvidvinget Måge, Baffinmåge (ssp. kumlieni);Hvidvinget Måge, Baffinmåge (ssp. kumlieni);Larus glaucoides kumlieni
5982;Hvidvinget Måge, Baffinmåge (ssp. kumlieni);Hvidvinget Måge, Baffinmåge (ssp. kumlieni);(Larus glaucoides kumlieni)
5983;Hvidvinget Måge, Inuitmåge (ssp. thayeri);Hvidvinget Måge, Inuitmåge (ssp. thayeri);Larus glaucoides thayeri
5983;Hvidvinget Måge, Inuitmåge (ssp. thayeri);Hvidvinget Måge, Inuitmåge (ssp. thayeri);(Larus glaucoides thayeri)
33;Stillehavslom;Stillehavslom;Gavia pacifica
33;Stillehavslom;Stillehavslom;(Gavia pacifica)
140;Sortbrynet Albatros;Sortbrynet Albatros;Thalassarche melanophris
140;Sortbrynet Albatros;Sortbrynet Albatros;(Thalassarche melanophris)
209;Albatros sp.;Albatros sp.;Diomedeidae
209;Albatros sp.;Albatros sp.;(Diomedeidae)
500;Wilsons Stormsvale;Wilsons Stormsvale;Oceanites oceanicus
500;Wilsons Stormsvale;Wilsons Stormsvale;(Oceanites oceanicus)
259;Madeira/Kap Verde/Desertas Petrel;Madeira/Kap Verde/Desertas Petrel;Pterodroma madeira/feae/deserta
259;Madeira/Kap Verde/Desertas Petrel;Madeira/Kap Verde/Desertas Petrel;(Pterodroma madeira/feae/deserta)
361;Scopolis Skråpe;Scopolis Skråpe;Calonectris diomedea
361;Scopolis Skråpe;Scopolis Skråpe;(Calonectris diomedea)
362;Atlantisk Skråpe;Atlantisk Skråpe;Calonectris borealis
362;Atlantisk Skråpe;Atlantisk Skråpe;(Calonectris borealis)
360;Atlantisk Skråpe/Scopolis Skråpe;Atlantisk Skråpe/Scopolis Skråpe;Calonectris borealis/C. diomedea
360;Atlantisk Skråpe/Scopolis Skråpe;Atlantisk Skråpe/Scopolis Skråpe;(Calonectris borealis/C. diomedea)
369;Atlantisk/Scopolis/Storskråpe;Atlantisk/Scopolis/Storskråpe;Calonectris borealis/C. diomedea/Puffinus gravis
369;Atlantisk/Scopolis/Storskråpe;Atlantisk/Scopolis/Storskråpe;(Calonectris borealis/C. diomedea/Puffinus gravis)
400;Storskråpe;Storskråpe;Ardenna gravis
400;Storskråpe;Storskråpe;(Ardenna gravis)
462;Middelhavsskråpe;Middelhavsskråpe;Puffinus yelkouan
462;Middelhavsskråpe;Middelhavsskråpe;(Puffinus yelkouan)
455;Middelhavsskråpe, Balearisk (ssp. mauretanicus);Middelhavsskråpe, Balearisk (ssp. mauretanicus);Puffinus yelkouan mauretanicus
455;Middelhavsskråpe, Balearisk (ssp. mauretanicus);Middelhavsskråpe, Balearisk (ssp. mauretanicus);(Puffinus yelkouan mauretanicus)
490;Tropeskråpe;Tropeskråpe;Puffinus lherminieri
490;Tropeskråpe;Tropeskråpe;(Puffinus lherminieri)
930;Pragtfregatfugl;Pragtfregatfugl;Fregata magnificens
930;Pragtfregatfugl;Pragtfregatfugl;(Fregata magnificens)
700;Brun Sule;Brun Sule;Sula leucogaster
700;Brun Sule;Brun Sule;(Sula leucogaster)
820;Dværgskarv;Dværgskarv;Microcarbo pygmaeus
820;Dværgskarv;Dværgskarv;(Microcarbo pygmaeus)
1370;Eremitibis;Eremitibis;Geronticus eremita
1370;Eremitibis;Eremitibis;(Geronticus eremita)
1420;Hellig Ibis;Hellig Ibis;Threskiornis aethiopicus
1420;Hellig Ibis;Hellig Ibis;(Threskiornis aethiopicus)
880;Hvid Pelikan;Hvid Pelikan;Pelecanus onocrotalus
880;Hvid Pelikan;Hvid Pelikan;(Pelecanus onocrotalus)
890;Krøltoppet Pelikan;Krøltoppet Pelikan;Pelecanus crispus
890;Krøltoppet Pelikan;Krøltoppet Pelikan;(Pelecanus crispus)
919;Pelikan sp.;Pelikan sp.;Pelecanidae
919;Pelikan sp.;Pelikan sp.;(Pelecanidae)
960;Amerikansk Rørdrum;Amerikansk Rørdrum;Botaurus lentiginosus
960;Amerikansk Rørdrum;Amerikansk Rørdrum;(Botaurus lentiginosus)
980;Dværghejre;Dværghejre;Botaurus minutus
980;Dværghejre;Dværghejre;(Botaurus minutus)
1040;Nathejre;Nathejre;Nycticorax nycticorax
1040;Nathejre;Nathejre;(Nycticorax nycticorax)
1080;Tophejre;Tophejre;Ardeola ralloides
1080;Tophejre;Tophejre;(Ardeola ralloides)
1240;Purpurhejre;Purpurhejre;Ardea purpurea
1240;Purpurhejre;Purpurhejre;(Ardea purpurea)
7810;Ørkennatravn;Ørkennatravn;Caprimulgus aegyptius
7810;Ørkennatravn;Ørkennatravn;(Caprimulgus aegyptius)
7920;Tornhalesejler;Tornhalesejler;Hirundapus caudacutus
7920;Tornhalesejler;Tornhalesejler;(Hirundapus caudacutus)
7980;Alpesejler;Alpesejler;Tachymarptis melba
7980;Alpesejler;Alpesejler;(Tachymarptis melba)
7970;Orientsejler;Orientsejler;Apus pacificus
7970;Orientsejler;Orientsejler;(Apus pacificus)
7990;Kaffersejler;Kaffersejler;Apus caffer
7990;Kaffersejler;Kaffersejler;(Apus caffer)
8000;Lille Sejler;Lille Sejler;Apus affinis
8000;Lille Sejler;Lille Sejler;(Apus affinis)
7960;Gråsejler;Gråsejler;Apus pallidus
7960;Gråsejler;Gråsejler;(Apus pallidus)
7351;Slørugle, Hvidbrystet (ssp. alba);Slørugle, Hvidbrystet (ssp. alba);Tyto alba alba
7351;Slørugle, Hvidbrystet (ssp. alba);Slørugle, Hvidbrystet (ssp. alba);(Tyto alba alba)
7500;Høgeugle;Høgeugle;Surnia ulula
7500;Høgeugle;Høgeugle;(Surnia ulula)
7510;Spurveugle;Spurveugle;Glaucidium passerinum
7510;Spurveugle;Spurveugle;(Glaucidium passerinum)
7390;Dværghornugle;Dværghornugle;Otus scops
7390;Dværghornugle;Dværghornugle;(Otus scops)
7490;Sneugle;Sneugle;Bubo scandiacus
7490;Sneugle;Sneugle;(Bubo scandiacus)
2350;Blå Glente;Blå Glente;Elanus caeruleus
2350;Blå Glente;Blå Glente;(Elanus caeruleus)
2460;Lammegrib;Lammegrib;Gypaetus barbatus
2460;Lammegrib;Lammegrib;(Gypaetus barbatus)
2470;Ådselgrib;Ådselgrib;Neophron percnopterus
2470;Ådselgrib;Ådselgrib;(Neophron percnopterus)
2320;Tophvepsevåge;Tophvepsevåge;Pernis ptilorhynchus
2320;Tophvepsevåge;Tophvepsevåge;(Pernis ptilorhynchus)
2550;Munkegrib;Munkegrib;Aegypius monachus
2550;Munkegrib;Munkegrib;(Aegypius monachus)
2510;Gåsegrib;Gåsegrib;Gyps fulvus
2510;Gåsegrib;Gåsegrib;(Gyps fulvus)
2559;Grib sp.;Grib sp.;Gypeatus/Gyps/Aegypticus/Neophron sp.
2559;Grib sp.;Grib sp.;(Gypeatus/Gyps/Aegypticus/Neophron sp.)
2560;Slangeørn;Slangeørn;Circaetus gallicus
2560;Slangeørn;Slangeørn;(Circaetus gallicus)
2930;Stor Skrigeørn;Stor Skrigeørn;Clanga clanga
2930;Stor Skrigeørn;Stor Skrigeørn;(Clanga clanga)
2980;Dværgørn;Dværgørn;Hieraaetus pennatus
2980;Dværgørn;Dværgørn;(Hieraaetus pennatus)
2945;Steppeørn;Steppeørn;Aquila nipalensis
2945;Steppeørn;Steppeørn;(Aquila nipalensis)
2950;Kejserørn;Kejserørn;Aquila heliaca
2950;Kejserørn;Kejserørn;(Aquila heliaca)
2990;Høgeørn;Høgeørn;Aquila fasciata
2672;Duehøg, Russisk (ssp. buteoides);Duehøg, Russisk (ssp. buteoides);Astur gentilis buteoides
2615;Amerikansk Kærhøg;Amerikansk Kærhøg;Circus hudsonius
2382;Sort Glente, Gulnæbbet (ssp. parasitus);Sort Glente, Gulnæbbet (ssp. parasitus);Milvus migrans parasitus
2450;Beringhavørn;Beringhavørn;Haliaeetus pelagicus
2440;Hvidhovedet Havørn;Hvidhovedet Havørn;Haliaeetus leucocephalus
2872;Musvåge, Steppevåge (ssp. vulpinus);Musvåge, Steppevåge (ssp. vulpinus);Buteo buteo vulpinus
2880;Ørnevåge;;
8410;Ellekrage;;
8390;Grøn Biæder;;
8500;Guldspætte;;
8980;Tretået Spætte;;
8769;Stor Flagspætte x Hvidrygget Flagspætte (hybrid);;
3030;Lille Tårnfalk;;
3050;Amerikansk Tårnfalk;;
3110;Eleonorafalk;;
3205;Vandrefalk, Sibirisk (ssp. calidus);;
3140;Lannerfalk;;
3180;Jagtfalk;;
3160;Slagfalk;;
16330;Rødøjet Vireo;;
15195;Stor Tornskade, Ørkentornskade (ssp. pallidirostris);;
15190;Rosenbrystet Tornskade;;
15230;Rødhovedet Tornskade;;
15140;Turkestantornskade;;
15170;Langhalet Tornskade;;
15130;Brun Tornskade;;
15610;Sibirisk Allike;;
15602;Allike, Halsbåndsallike (ssp. soemmerringii);;
15700;Broget Krage;;
14421;Fyrremejse, Nordlig (ssp. borealis);;
9680;Korttået Lærke;;
9620;Østlig Kalanderlærke;;
12260;Cistussanger;;
12600;Spottesanger;;
12560;Lille Gulbug;;
12550;Bleg Gulbug;;
12420;Vandsanger;;
12470;Lille Rørsanger;;
12390;Stor Græshoppesanger;;
12350;Stribet Græshoppesanger;;
9910;Klippesvale;;
9923;Landsvale, Libanonlandsvale (ssp. transitiva);;
32450;Rødbrystet Svale;;
9951;Amursvale;;
12200;Cettisanger;;
13070;Bjergløvsanger;;
13079;Bjergløvsanger/Balkanløvsanger;;
13005;Himalayasanger;;
13010;Schwarz Løvsanger;;
13050;Sinkiangløvsanger;;
13116;Iberisk Gransanger;;
12910;Grøn Sanger;;
12920;Østlig Lundsanger;;
12950;Nordsanger;;
12742;Gærdesanger, Sibirisk (ssp. blythi);;
12739;Gærdesanger, Steppe (ssp. halimodendri);;
12747;Gærdesanger, Sibirisk/Steppe (ssp. blythi/halimodendri);;
12700;Asiatisk Ørkensanger;;
12610;Sardinsk Sanger;;
12690;Sortstrubet Sanger;;
12670;Sorthovedet Sanger;;
12655;Makisanger;;
12656;Iberisk Sanger;;
12654;Rødstrubet Sanger;;
12651;Rødstrubet Sanger (ssp. cantillans);;
12653;Rødstrubet Sanger (ssp. albistriata);;
12650;Rødstrubet Sanger/Iberisk Sanger/Makisanger;;
10669;Gærdesmutte, Nordatlantisk (fridariensis/hirtensis/borealis);;
15830;Ensfarvet Stær;;
11700;Gulddrossel;;
11770;Olivenskovdrossel;;
11760;Eremitdrossel;;
11972;Sortstrubet Drossel;;
11962;Brundrossel;;
11950;Gråstrubet Drossel;;
12030;Vandredrossel;;
13340;Brun Fluesnapper;;
11050;Rubinnattergal;;
11020;Manchurernattergal;;
13432;Tajgafluesnapper;;
11130;Blåstjert;;
